iter	Logloss
0	0.6883997231
1	0.6838689311
2	0.6798358232
3	0.6758685399
4	0.6720888528
5	0.6685461087
6	0.6650904302
7	0.6619630982
8	0.6591881933
9	0.65643451
10	0.6539008762
11	0.6513565162
12	0.6490275439
13	0.6469645251
14	0.6449634614
15	0.6430604519
16	0.6411112464
17	0.6392178956
18	0.6376624414
19	0.6359936578
20	0.6344756301
21	0.6330717994
22	0.6318503614
23	0.6306936197
24	0.6295885413
25	0.6285569756
26	0.6275350668
27	0.6264545589
28	0.6254816874
29	0.6245339934
30	0.6236731008
31	0.6229251852
32	0.6220913801
33	0.6212775797
34	0.6204739818
35	0.6197511217
36	0.6190666687
37	0.618466465
38	0.61784559
39	0.6172951129
40	0.6167413397
41	0.6162094183
42	0.6157587025
43	0.6153008989
44	0.6148554611
45	0.6144191404
46	0.6140453383
47	0.6136788875
48	0.6133273153
49	0.6129658251
50	0.612591977
51	0.6122397431
52	0.6118870651
53	0.6115889809
54	0.6113055551
55	0.6110236062
56	0.6107748785
57	0.610516088
58	0.6102936711
59	0.6100381161
60	0.609791993
61	0.6095683603
62	0.6093344847
63	0.6091380586
64	0.6089395385
65	0.608764049
66	0.6085743851
67	0.6084154795
68	0.6082600135
69	0.608077377
70	0.6079156526
71	0.6077388393
72	0.6075634767
73	0.6073986288
74	0.6072246219
75	0.6070878505
76	0.6069789934
77	0.6068557451
78	0.6067099076
79	0.6065878833
80	0.6064732292
81	0.6063361567
82	0.6062091865
83	0.6060507507
84	0.6059434118
85	0.6058457285
86	0.6057291936
87	0.6056450237
88	0.6055630799
89	0.6054673836
90	0.6053394033
91	0.6052557959
92	0.6051655629
93	0.6050574246
94	0.6049792271
95	0.6048945851
96	0.6048082555
97	0.6047370955
98	0.6046637889
99	0.6045981946
100	0.60452101
101	0.6044201226
102	0.6043437794
103	0.6042622482
104	0.6041428169
105	0.6040520027
106	0.6039699502
107	0.6038999948
108	0.6038480886
109	0.603768135
110	0.6037047691
111	0.6036384856
112	0.6035236544
113	0.6034340583
114	0.6033815125
115	0.6033269015
116	0.6032797923
117	0.6032302525
118	0.6031530216
119	0.6030679921
120	0.6030149123
121	0.6029717093
122	0.6029130137
123	0.6028452768
124	0.6027950094
125	0.6027428455
126	0.6026842802
127	0.6026002727
128	0.6025297886
129	0.6024487459
130	0.6023838194
131	0.6023333559
132	0.6022939709
133	0.6022291292
134	0.6021602047
135	0.6021141794
136	0.6020840048
137	0.6020303689
138	0.6019641527
139	0.6019036167
140	0.60185828
141	0.6018263337
142	0.6017922174
143	0.60174384
144	0.6016981687
145	0.6016501598
146	0.6016104377
147	0.6015580597
148	0.6015189505
149	0.6014742255
150	0.6014184756
151	0.6013879997
152	0.6013394947
153	0.6012916688
154	0.6012520068
155	0.6012131833
156	0.6011640114
157	0.6011039522
158	0.6010498278
159	0.6010113239
160	0.6009759436
161	0.6009549733
162	0.6009295667
163	0.6008625882
164	0.6008104709
165	0.6007709868
166	0.600713681
167	0.6006881162
168	0.6006470836
169	0.6006207043
170	0.6005595568
171	0.6005106998
172	0.6004604873
173	0.6004276499
174	0.6004077239
175	0.6003823918
176	0.6003613873
177	0.6003222584
178	0.6002651039
179	0.6002292454
180	0.6001947941
181	0.6001590352
182	0.6001160833
183	0.6000713751
184	0.6000468394
185	0.6000174384
186	0.5999659387
187	0.5999211895
188	0.5998865158
189	0.5998476465
190	0.5998118511
191	0.5997869155
192	0.5997541185
193	0.599701492
194	0.5996570749
195	0.5996273552
196	0.5995929945
197	0.5995645015
198	0.5995429602
199	0.5995283807
200	0.5994893004
201	0.5994578487
202	0.5994266498
203	0.5994004635
204	0.5993736107
205	0.599355769
206	0.5993248272
207	0.599289416
208	0.5992632942
209	0.5992285149
210	0.5991984873
211	0.599158308
212	0.5991217127
213	0.5991027829
