iter	Passed	Remaining
0	34	34428
1	61	30577
2	89	29637
3	118	29390
4	143	28615
5	171	28445
6	195	27754
7	221	27485
8	247	27283
9	271	26862
10	298	26820
11	322	26585
12	346	26276
13	371	26167
14	397	26092
15	422	25964
16	445	25770
17	472	25796
18	495	25587
19	521	25561
20	548	25576
21	574	25547
22	603	25619
23	629	25587
24	653	25479
25	679	25471
26	705	25407
27	730	25354
28	756	25325
29	784	25362
30	810	25330
31	840	25428
32	865	25366
33	893	25386
34	917	25296
35	945	25320
36	973	25340
37	997	25250
38	1023	25226
39	1047	25135
40	1071	25054
41	1097	25031
42	1123	25006
43	1147	24931
44	1170	24850
45	1195	24794
46	1219	24720
47	1242	24635
48	1268	24621
49	1292	24555
50	1314	24461
51	1339	24423
52	1363	24355
53	1387	24307
54	1411	24248
55	1437	24236
56	1463	24218
57	1490	24205
58	1516	24192
59	1540	24139
60	1567	24136
61	1590	24063
62	1615	24033
63	1641	24006
64	1666	23977
65	1693	23960
66	1718	23932
67	1744	23912
68	1769	23876
69	1795	23856
70	1821	23831
71	1846	23800
72	1868	23730
73	1891	23672
74	1914	23611
75	1940	23587
76	1964	23546
77	1989	23516
78	2014	23486
79	2036	23416
80	2062	23402
81	2087	23372
82	2113	23350
83	2139	23335
84	2166	23324
85	2192	23301
86	2213	23232
87	2240	23217
88	2265	23190
89	2291	23166
90	2323	23212
91	2352	23217
92	2378	23198
93	2402	23152
94	2428	23131
95	2449	23069
96	2473	23021
97	2498	22997
98	2524	22975
99	2552	22970
100	2578	22948
101	2603	22917
102	2629	22896
103	2653	22860
104	2680	22847
105	2704	22809
106	2727	22766
107	2754	22750
108	2778	22715
109	2804	22691
110	2831	22675
111	2858	22665
112	2884	22642
113	2910	22621
114	2936	22594
115	2961	22567
116	2987	22545
117	3013	22522
118	3038	22494
119	3060	22442
120	3083	22396
121	3106	22359
122	3133	22344
123	3161	22332
124	3187	22314
125	3212	22282
126	3237	22257
127	3262	22228
128	3289	22208
129	3312	22166
130	3339	22152
131	3366	22136
132	3388	22090
133	3412	22052
134	3434	22005
135	3459	21974
136	3485	21957
137	3512	21940
138	3538	21918
139	3565	21903
140	3591	21878
141	3616	21854
142	3642	21829
143	3663	21776
144	3687	21746
145	3710	21704
146	3737	21685
147	3763	21664
148	3789	21642
149	3813	21612
150	3840	21590
151	3864	21559
152	3888	21526
153	3911	21488
154	3936	21459
155	3975	21506
156	4000	21481
157	4025	21451
158	4050	21426
159	4073	21387
160	4112	21429
161	4136	21397
162	4159	21356
163	4185	21337
164	4208	21295
165	4233	21269
166	4258	21242
167	4284	21218
168	4310	21195
169	4335	21169
170	4361	21142
171	4385	21113
172	4407	21071
173	4433	21045
174	4459	21023
175	4485	21000
176	4509	20969
177	4534	20940
178	4560	20918
179	4587	20897
180	4613	20873
181	4638	20847
182	4665	20827
183	4690	20802
184	4716	20779
185	4742	20752
186	4766	20720
187	4792	20697
188	4817	20672
189	4843	20648
190	4870	20627
191	4896	20605
192	4915	20554
193	4941	20531
194	4967	20505
195	4989	20465
196	5014	20439
197	5039	20412
198	5061	20374
199	5086	20347
200	5113	20324
201	5140	20306
202	5166	20283
203	5192	20259
204	5218	20236
205	5242	20206
206	5267	20178
207	5292	20152
208	5317	20125
209	5342	20099
210	5366	20067
211	5390	20036
212	5417	20015
213	5443	19993
214	5465	19955
215	5494	19943
216	5523	19930
217	5553	19919
218	5581	19904
219	5607	19879
220	5633	19855
221	5658	19829
222	5683	19803
223	5709	19780
224	5736	19758
225	5761	19730
226	5786	19703
227	5811	19678
228	5837	19654
229	5864	19632
230	5890	19608
231	5915	19581
232	5941	19557
233	5966	19530
234	5989	19496
235	6014	19469
236	6040	19445
237	6064	19418
238	6090	19392
239	6113	19358
240	6139	19336
241	6164	19309
242	6188	19280
243	6213	19252
244	6252	19269
245	6278	19244
246	6304	19221
247	6330	19195
248	6356	19172
